yes! (hands at sides)--&&--o(^_^)o
amazed--&&--(^.^)
zzzasleep--&&--(-_-)
blushing--&&--(*^_^*)
cat--&&--=(^.^)=
cheerleader--&&--*\ (^o^) /*
concerned/nervous/shocked--&&--(O_O) or (0_0)
crying--&&--(;_;)
dead/knocked out--&&--(x_x)
dancing with joy--&&--\(^o\)
depressed--&&--(._.)
dizzy--&&--(@_@)
sweating--&&--(^_^;)
encouraging (gentle punch)--&&--o(^_-)o
fascinated/in love/frightened--&&--(*_*)
exasperated--&&--(-_-)
exasperated--&&--(u_u)
joyful--&&--(^o^)
happy--&&--(^L^)
hair brushed over 1 eye--&&--//_o\
